developer|count|percent|histogram
---------|-----|-------|------
Nyall Dawson (North Road) |23|39.66|***********
Mathieu Pellerin |8|13.79|****
ND|5|8.62|**
Olivier Dalang and OPENGIS.ch |2|3.45|*
Alessandro Pasotti |2|3.45|*
Matthias Kuhn |2|3.45|*
Martin Dobias |1|1.72|
Peter Petrik (Lutra Consulting) |1|1.72|
Martin Dobias (Lutra Consulting) |1|1.72|
Jürgen Fischer|1|1.72|
Tamas Szekeres |1|1.72|
Julien Cabieces |1|1.72|
Matteo Nastasi |1|1.72|
Loïc Bartoletti (Oslandia) |1|1.72|
Jürgen Fischer with Matthias Kuhn |1|1.72|
Raymond Nijssen |1|1.72|
Marcel-Dančák |1|1.72|
Rashad Kanavath |1|1.72|
epifanio |1|1.72|
Alexander Bruy |1|1.72|
David Signer OPENGIS.ch|1|1.72|
henrik|1|1.72|
